Date,Headline,Source
30-Apr-24,"Pakistan, Qatar agree to further solidify parliamentary relations",The Nation
30-Apr-24,Alliance with JUI-F very likely: Barrister Gohar,The Nation
30-Apr-24,PM leaves for Pakistan after attending WEF,The Nation
30-Apr-24,"Pakistan, Turkiye vow to further expand defence collaboration",The Nation
30-Apr-24,NAB clears Shahid Khaqan Abbasi in LNG case,The Nation
30-Apr-24,Short-term immediate reconciliation: A path forward for political and institutional unity in Pakistan,The Nation
30-Apr-24,17 die in KP rain related incidents,The Nation
30-Apr-24,Punjab govt decides to implement Integrated Public Prosecution System,The Nation
30-Apr-24,I didn't leave PTI': Fawad Chaudhry,The Nation
30-Apr-24,Parents could be jailed for polio vaccine refusal,The Nation
30-Apr-24,IHC judges' letter: Six-member SC bench to hear suo motu case today,The Nation
30-Apr-24,Fuel prices may drop in Pakistan amid global market decline,The Nation
30-Apr-24,Karachi to experience scorching hot weather as temperatures rise,The Nation
30-Apr-24,"Balochistanâ€™s Apex Committee takes important decisions to eradicate terrorism, smuggling",The Nation
30-Apr-24,Forestation critical to keep tempratures from rising: Experts,The Nation
30-Apr-24,Lahore Police break up farmersâ€™ protest at Mall Road,The Nation
30-Apr-24,IMF board approves $1.1b loan tranche,The Nation
30-Apr-24,COAS calls for strengthening Pak-Turkiye military cooperation,The Nation
30-Apr-24,SBP decides to keep policy rate at 22pc,The Nation
30-Apr-24,President confers Nishan-i-Imitaz (M) upon Turkish General,The Nation
30-Apr-24,NA passes tax laws amendment bill,The Nation
30-Apr-24,Treasury lawmaker in Senate objects to hiring US firm for FBR digitisation,The Nation
30-Apr-24,ECP summons KP CM Gandapur,The Nation
30-Apr-24,"Pakistan committed to DCO initiatives, says Dar",The Nation
30-Apr-24,Court adjourns hearing of case against Gandapur till May 2,The Nation
30-Apr-24,Reference against Pervaiz Ashraf adjourned till May 29,The Nation
30-Apr-24,ECP to hear PTI intra-party election case today,The Nation
30-Apr-24,Islamabad traffic police launches mobile licence service,The Nation
30-Apr-24,Wheat crop devastated by rain and hailstorms,The Nation
30-Apr-24,IHC rejects petitions seeking judgeâ€™s recusal in audio leaks case,The Nation
30-Apr-24,SIC chief advises PTI to quit assemblies if Imran not freed,The Nation
30-Apr-24,Fazl advocates for PTI public rallies,The Nation
30-Apr-24,Mothers happy as CM Maryam visits Lahoreâ€™s Childrenâ€™s Hospital,The Nation
30-Apr-24,US Acting under-secretary of state John Bass arrives,The Nation
30-Apr-24,Ahsan Iqbal hands over new buses to UET Narowal Campus,The Nation
30-Apr-24,"Amir Muqam calls for performance over politics, criticizes opposition tactics",The Nation
30-Apr-24,ECP summons CM Gandapur over asset declaration discrepancies,The Nation
1-May-24,"Ex-premier Shahid Khaqan Abbasi, others acquitted as RLNG case withdrawn",Dawn
1-May-24,"US, Pakistan vow to boost cooperation on regional security",Dawn
1-May-24,â€˜No evidence that cipher was in Imranâ€™s custodyâ€™,Dawn
1-May-24,Sanaullah added to cabinet as adviser on political affairs,Dawn
1-May-24,PM hopes IMF loan will help stabilise economy,Dawn
1-May-24,Two cops injured in Khuzdar grenade attack,Dawn
1-May-24,Quetta traders decry â€˜illegalâ€™ raids on godowns,Dawn
1-May-24,PTI finally picks Marwat for Public Accounts Committee chairman slot,Dawn
1-May-24,PTI gains another NA seat in Punjab,Dawn
1-May-24,Small loans to promote cattle farming planned in Balochistan,Dawn
1-May-24,UCLA campus protests over Gaza war erupt into violent clashes between rival groups,Express Tribune
1-May-24,Australia tiptoes around Indian spy scandal,Express Tribune
1-May-24,Focus now on cypherâ€™s whereabouts: IHC,Express Tribune
1-May-24,"COAS, British CGS address Pak-UK conference on regional stabilization",Express Tribune
1-May-24,Police arrest dozens of pro-Palestinian protesters at Columbia University,Express Tribune
1-May-24,LHC gives ex-Islamabad IG final chance,Express Tribune
1-May-24,At least 143 killed in unusually heavy April rains,Express Tribune
1-May-24,Vawda urges more clarity to lay Justice Sattar controversy to rest,Express Tribune
1-May-24,Uber quits Pakistani market,Express Tribune
1-May-24,US State dept delegation meets acting FS,Express Tribune
1-May-24,President directs Sindh govt to take strict action against criminals,The Nation
1-May-24,"Ambassador Munir, Envoy Paddy discuss â€˜Summit of the Futureâ€™",The Nation
1-May-24,Customs foils gold smuggling bid at Karachi airport,The Nation
1-May-24,"Punjab CM, KP Governor discuss inter-province harmony, cooperation",The Nation
1-May-24,IGP visits Hazrat Umar Farooq (Jhangi) check post in DG Khan,The Nation
1-May-24,Govt bound to resolve farmersâ€™ issues: PPP leader,The Nation
1-May-24,PM pledges relief for labour class hit hard by inflation,The Nation
1-May-24,"Pakistan, UK security dialogue on regional issues begins at NDU",The Nation
1-May-24,Pakistan to send first-ever lunar satellite to moon tomorrow,The Nation
1-May-24,President orders major operation against criminals in Sindh,The Nation
1-May-24,PTI conundrum; to talk and not to talk,The Nation
1-May-24,Government committed to serve labourers at all cost: Rana Sana,The Nation
1-May-24,Azam Tararr terms labourers backbone of country,The Nation
1-May-24,KP CM announces to double assistance package for labourers,The Nation
1-May-24,Govt focusing on working class needs: Dastgir,The Nation
1-May-24,Mian Iftikhar elected president KP ANP,The Nation
1-May-24,IHC resumes hearing on â€˜Xâ€™ ban petition today,The Nation
1-May-24,"Labour class backbone of national economy, says minister",The Nation
1-May-24,No payout of inclusive economic growth if workers deprived of rights: CM Murad,The Nation
1-May-24,Interior Minister Naqvi announces upgradation of Pakistan Coast Guards,The Nation
1-May-24,Labour Day observed across Northern Sindh,The Nation
1-May-24,"Commissioner reviews on-going polio campaign in Jamshoro, Kotri",The Nation
1-May-24,"Labourers play pivotal role in countryâ€™s economy, says Governor",The Nation
1-May-24,Bilawal for 18 ministries abolition under 18th amendment,The Nation
1-May-24,Pakistan condemns Herat terrorist attack,The Nation
1-May-24,"CM Maryam introduces container hospitals, taunting rivals",The Nation
1-May-24,PTI seeks full court minus CJP to hear judgesâ€™ letter issue,The Nation
1-May-24,Deputy PM Dar reaches Gambia to attend OIC Summit,The Nation
2-May-24,Ishaq Dar's appointment as deputy PM challenged in SHC,The Nation
2-May-24,"High inflation, import curbs impede efforts to reduce poverty: WealthPK",The Nation
2-May-24,"IGP visits Jhangi checkpost, awards cash prizes to policemen",The Nation
2-May-24,Fawad's plea seeking appearance through video link in May 9 cases put off,The Nation
2-May-24,PTI founder challenges NAB's inquiry notice in IHC,The Nation
2-May-24,"CM Murad says stern steps being taken to restore law, order in Sindh",The Nation
2-May-24,Sindh CM chairs SDT board meeting to appoint MD from market,The Nation
2-May-24,PTA deliberating on FBR's SIM block decision,The Nation
2-May-24,"Pakistan won't provide bases to any foreign govt, says FO",The Nation
2-May-24,COAS says â€˜We are well aware of our constitutional limitsâ€™,The Nation
2-May-24,Punjab Govt to provide safe environment for USâ€™ investment in province: CM,The Nation
2-May-24,PTI demands full court bench for all-important letter case,The Nation
2-May-24,President directs Sindh govt to take strict action against criminals,The Nation
2-May-24,"Ambassador Munir, Envoy Paddy discuss â€˜Summit of the Futureâ€™",The Nation
2-May-24,Customs foils gold smuggling bid at Karachi airport,The Nation
2-May-24,"Punjab CM, KP Governor discuss inter-province harmony, cooperation",The Nation
2-May-24,IGP visits Hazrat Umar Farooq (Jhangi) check post in DG Khan,The Nation
2-May-24,Govt bound to resolve farmersâ€™ issues: PPP leader,The Nation
2-May-24,PM pledges relief for labour class hit hard by inflation,The Nation
2-May-24,"Pakistan, UK security dialogue on regional issues begins at NDU",The Nation
2-May-24,Pakistan to send first-ever lunar satellite to moon tomorrow,The Nation
2-May-24,President orders major operation against criminals in Sindh,The Nation
2-May-24,PTI conundrum; to talk and not to talk,The Nation
2-May-24,Government committed to serve labourers at all cost: Rana Sana,The Nation
2-May-24,Azam Tararr terms labourers backbone of country,The Nation
2-May-24,KP CM announces to double assistance package for labourers,The Nation
2-May-24,Govt focusing on working class needs: Dastgir,The Nation
2-May-24,Mian Iftikhar elected president KP ANP,The Nation
2-May-24,IHC resumes hearing on â€˜Xâ€™ ban petition today,The Nation
2-May-24,"Labour class backbone of national economy, says minister",The Nation
2-May-24,No payout of inclusive economic growth if workers deprived of rights: CM Murad,The Nation
2-May-24,Interior Minister Naqvi announces upgradation of Pakistan Coast Guards,The Nation
2-May-24,Labour Day observed across Northern Sindh,The Nation
2-May-24,"Commissioner reviews on-going polio campaign in Jamshoro, Kotri",The Nation
2-May-24,"Labourers play pivotal role in countryâ€™s economy, says Governor",The Nation
2-May-24,Bilawal for 18 ministries abolition under 18th amendment,The Nation
2-May-24,Pakistan condemns Herat terrorist attack,The Nation
2-May-24,"CM Maryam introduces container hospitals, taunting rivals",The Nation
2-May-24,PTI seeks full court minus CJP to hear judgesâ€™ letter issue,The Nation
2-May-24,Deputy PM Dar reaches Gambia to attend OIC Summit,The Nation
3-May-24,10-year-old boy dies after quack gives him wrong injection,The Nation
3-May-24,FIA arrests three bank officers in Rs58.2m scam,The Nation
3-May-24,"Journalist among three killed, seven others wounded in Khuzdar blast",The Nation
3-May-24,Judicial Commission meeting on judges' appointment adjourned,The Nation
3-May-24,NAB should investigate wheat crisis in Punjab: Asad Qaiser,The Nation
3-May-24,Two women granted bail in motorway episode,The Nation
3-May-24,Govt establishes new investigation agency to deal with cyber crimes,The Nation
3-May-24,Constitution is not just a piece of paper; it is a social contract: Achakzai,The Nation
3-May-24,Sub-Inspector shot dead on Hazara Expressway,The Nation
3-May-24,Bilawal nominates Sardar Salim Haider as Punjab governor,The Nation
3-May-24,Barrister Gohar denies negotiations with anyone,The Nation
3-May-24,IHC bins IB plea for withdrawal of objections to bench hearing audio leaks case,The Nation
3-May-24,Billion Tree Tsunami Plus project to kick off in KP,The Nation
3-May-24,ATC extends PTI founder's interim bail in three cases of May 9,The Nation
3-May-24,"Dr Saif berates Punjab CM, says Maryam unmindful of farmers' problems",The Nation
3-May-24,Retired bureaucrat Kunwar Idrees passes away,The Nation
3-May-24,PM hopeful of productive engagement with upcoming Saudi delegation,The Nation
3-May-24,"Election with stolen mandate has no credibility, says PTI leader Asad Qaiser",The Nation
3-May-24,"Journalist killed, nine others wounded in Khuzdar blast",The Nation
3-May-24,US supports Pakistanâ€™s efforts to stabilise economy,The Nation
3-May-24,iCube Qamar: Pakistan to launch first lunar mission today,The Nation
3-May-24,"UN declares May 24 as int'l day of Markhor, Pakistan's national animal",The Nation
3-May-24,Wheat scandal: PM Shehbaz suspends secretary food security,The Nation
3-May-24,"President, PM assure safety, security of journalists",The Nation
3-May-24,Not in favour of imposing ban on any social media platform: Attaullah Tarar,The Nation
3-May-24,Earthquake of 4.2 magnitude jolts Balochistan,The Nation
3-May-24,Navy chief visits People's Liberation Army Navy headquarters in China,The Nation
3-May-24,"20 killed, 21 injured as bus falls into ravine in GB",The Nation
3-May-24,"Those violating constitutional speech limits should not blame others, says Army Chief",The Nation
3-May-24,PM orders probe into wheat price crisis,The Nation
3-May-24,PTI seeks judicial commission to probe poll rigging,The Nation
3-May-24,Inflation declines to 23-month low at 17.3pc,The Nation
3-May-24,CM Maryam vows to make Punjab polio free,The Nation
3-May-24,FO rejects Shehzad Akbarâ€™s politically motivated allegations,The Nation
3-May-24,Reforms in FBR govtâ€™s top priority for economic revival: Law minister,The Nation
3-May-24,Positive results of PMâ€™s Saudi visit to accrue within few months: Attaullah Tarar,The Nation
3-May-24,Court gives last chance to Gill for appearance,The Nation
3-May-24,"PPP stands for media freedom, says Bilawal",The Nation
3-May-24,ECP reappoints Omar as secretary for two-year term,The Nation
3-May-24,"Multanâ€™s NA-148 by-election, set for May 19",The Nation
3-May-24,IHC orders PML-N MNAs to submit poll result forms,The Nation
3-May-24,Australian HC celebrates enduring ties with Pakistan,The Nation
3-May-24,SC sends another notice to Suri for abrogating the Constitution,The Nation
3-May-24,Pak satellite IQube Moon to be launched today,The Nation
3-May-24,969 MW-Neelum Jhelum Plant shut down after developing a new fault,The Nation
3-May-24,Terrorists involved in abduction of judge shot dead in Tank: ISPR,The Nation
3-May-24,"One dies, 20 injured in landmine blasts in Balochistan",The Nation
3-May-24,PM condoles over demise of UAEâ€™s Sheikh Tahnoun bin Mohamed,The Nation
3-May-24,Anti-corruption court delays indictment of Parvez Elahi,The Nation
3-May-24,PM credits PDM govt for lowest inflation rate in two years,The Nation
3-May-24,Sindh CM chairs SDT board meeting to appoint MD from market,The Nation
3-May-24,PTA deliberating on FBR's SIM block decision,The Nation
3-May-24,Bhachar condemns Punjab govt for poor handling of wheat procurement,The Nation
3-May-24,Omar Hamid reappointed ECP secretary as Asif Hussain steps down,The Nation
3-May-24,CEC Sikandar Sultan Raja's appointment challenged in LHC,The Nation
3-May-24,Asif Zardari resigns as PPPP chairman,The Nation
3-May-24,Hafiz Naeem gives govt four-day ultimatum to start wheat procurement,The Nation
3-May-24,PTI issues white paper on 'rigging' in Feb 8 polls,The Nation
3-May-24,Three terrorists killed in Tank IBO: ISPR,The Nation
4-May-24,"PM on wheat import scandal: Fix the responsibility, furnish a report by Monday",The Nation
4-May-24,IHC disposes of FIA employees' petition against contract termination,The Nation
4-May-24,JUI-F decides to launch anti-govt movement sans PTI,The Nation
4-May-24,"Pakistan, Niger reaffirm commitment to strengthen cooperation",The Nation
4-May-24,Dr Ahmar Sohail Basra assumes charge as Radio Pakistan Lahore station director,The Nation
4-May-24,Hearing against Ali Amin Gandapur adjourned until May 17,The Nation
4-May-24,May 9 perpetrators now giving statements about talks with military: Khawaja Asif,The Nation
4-May-24,"Will provide free medicines to 200,000 patients at their doorstep: CM Maryam",The Nation
4-May-24,Saudi Arabia introduces new measures to reduce people performing illegal Hajj,The Nation
4-May-24,Pakistani doctor featured in Timeâ€™s 100 health list,The Nation
4-May-24,"Pakistan, Gambia agree to deepen bilateral cooperation",The Nation
4-May-24,PPP's Faisal Karim Kundi set to take oath as KP governor today,The Nation
4-May-24,Nawaz Sharif likely to be elected PML-N President,The Nation
4-May-24,PM Shehbaz directs ministries to gear up for upcoming visit of Saudi investors,The Nation
4-May-24,National Cyber Crimes Investigation Agency notified to deal with offences under Peca act,The Nation
4-May-24,Appointment of superior judiciary judges to continue as per existing rules: JCP,The Nation
4-May-24,SC to resume hearing review pleas against Faizabad dharna from Monday,The Nation
4-May-24,Journalist among 3 killed in Khuzdar blast,The Nation
4-May-24,Freedom of expression vital for democracy: CM,The Nation
4-May-24,Naqvi orders immediate resolution of immigration issues at countryâ€™s airports,The Nation
4-May-24,Bilawal nominates Sardar Saleem Haider as Punjab governor,The Nation
4-May-24,Gwadar to play key role in economic progress of country: Qaiser,The Nation
4-May-24,"Thar coal only solution to power crisis, says CM Murad",The Nation
4-May-24,Balochistan CM reviews steps for wheat procurement,The Nation
4-May-24,Balochistan CM condemns Khuzdar blast,The Nation
4-May-24,Bilawal reiterates unwavering support for press freedom,The Nation
4-May-24,Govt taking measures to curtail school dropout ratio: Sardar Shah,The Nation
4-May-24,Minister for Maritime Affairs visits Gwadar,The Nation
4-May-24,Court concludes witnessesâ€™ cross examination in liquor case against Gandapur,The Nation
4-May-24,President approves retirement of former judge Siddiqui,The Nation
4-May-24,Pakistan marks World Press Freedom Day,The Nation
4-May-24,"At UN, Pakistan raises issue of Indiaâ€™s sponsoring of terrorist groups",The Nation
4-May-24,"ATC grants interim bail to Mussarat Cheema, Jamshed Cheema",The Nation
4-May-24,"CMâ€™s Youth Initiative: 72,640 bike applications received from students",The Nation
4-May-24,IHC rejects IBâ€™s request to withdraw objection against judge,The Nation
4-May-24,Govt believes in freedom of press: Amir Muqam,The Nation
4-May-24,"Free, responsible media essential for democracy: Law Minister",The Nation
5-May-24,Faizabad sit-in inquiry report submitted to SC,The Nation
5-May-24,"JI emir, Iranian ambassador condemn Israeli atrocities in Gaza",The Nation
5-May-24,Rs400bn wheat import issue storm in a teacup: Kakar,The Nation
5-May-24,Five of a family found dead mysteriously in house in Tandlianwala,The Nation
5-May-24,Residents freak out to catch sight of two tigers in their areas in Lower Dir,The Nation
5-May-24,10 injured as bus carrying factory workers falls into ditch near Kot Radha Kishan,The Nation
5-May-24,Bilawal felicitates Naila Kiani on scaling mount makalu,The Nation
5-May-24,FM Dar calls for immediate ceasefire in Gaza,The Nation
5-May-24,Wheat crisis: Kissan Ittehad announces protest demonstrations from May 10,The Nation
5-May-24,Jaffar Mandokhail to sworn in as Balochistan governor tomorrow,The Nation
5-May-24,"Atta Tarar holds open court session in NA-127, pledges swift resolution of workers' issues",The Nation
5-May-24,Aimal Wali Khan elected ANP president,The Nation
5-May-24,PM Shehbaz congratulates Sadiq Khan on his election as Londonâ€™s Mayor,The Nation
5-May-24,PM expresses concern over difficulties being faced by wheat growers,The Nation
5-May-24,"President appoints governors for Punjab, KP, Balochistan provinces",The Nation
5-May-24,Defence minister says May 9 was a planned conspiracy,The Nation
5-May-24,6 terrorists killed in North Waziristan: ISPR,The Nation
5-May-24,PTI rejects person-specific constitutional amendment,The Nation
5-May-24,CM Maryam launches free medicine home delivery project,The Nation
5-May-24,"PM Shehbaz has prepared a plan to provide jobs to youth, claims Musadik",The Nation
5-May-24,"JI joins PTI, PK MAP in anti-govt protest movement",The Nation
5-May-24,"Ishaq Dar, Saudi FM renew pledge to boost economic ties",The Nation
5-May-24,"UAE Ambassador, Tessori discuss investment opportunities",The Nation
5-May-24,"MMA champion Shahzaib Rind, boxer Amir Khan call on COAS",The Nation
5-May-24,"Pakistan, Qatar agree to further expand trade, investment ties",The Nation
5-May-24,Dar meets Kuwaiti Foreign Minister,The Nation
5-May-24,Ministry asks Hajj pilgrims to ensure timely vaccination,The Nation
2-May-24,Judicial Commission of Pakistan to revise key procedures in appointment of judges,Dawn
2-May-24,Protests continue in Balochistan against new check posts,Dawn
2-May-24,Defeating polio in the wrestling arena,Dawn
2-May-24,Three shot dead in Balochistan,Dawn
2-May-24,Dar arrives in Gambia to attend OIC summit,Dawn
2-May-24,New Management Association of Pakistan office-bearers,Dawn
2-May-24,PPP challenges plan to privatise public enterprises,Dawn
2-May-24,Pakistan-UK security conference kicks off in Islamabad,Dawn
2-May-24,PM wants wealthy to prioritise improving workersâ€™ conditions,Dawn
3-May-24,IHC set to take up anonymous complaint against senior judge Mohsin Kayani,Dawn
3-May-24,Fazl accuses establishment of poll manipulation to appease US,Dawn
3-May-24,IHC reserves verdict on Bushraâ€™s plea for transfer to Adiala jail,Dawn
3-May-24,Darâ€™s appointment as deputy PM challenged in SHC,Dawn
3-May-24,Youth Parliament demands inquiry into delays in poll results transmission,Dawn
3-May-24,Probe ordered into wheat import by caretakers,Dawn
3-May-24,"Over 1,100 housing schemes in Punjab set up without approval, SC told",Dawn
3-May-24,"One killed, 20 injured in twin blasts in Duki",Dawn
3-May-24,Govt to form new body to combat misinformation: Attaullah Tarar,Dawn
4-May-24,JCP meeting remains inconclusive as govt mulls constitutional amendments,Dawn
4-May-24,Pakistan extradites Oslo shooting suspect to Norway,Dawn
4-May-24,Media bodies decry restrictions on press in Pakistan,Dawn
4-May-24,Above-average rains bring wettest April since 1961,Dawn
4-May-24,Balochistan allocates Rs5bn for wheat procurement,Dawn
4-May-24,"Bilawal names PPP loyalists as Punjab, KP governors",Dawn
4-May-24,President restores Justice Siddiquiâ€™s retirement benefits,Dawn
4-May-24,Farmers warn of nationwide highway blockade over wheat price,Dawn
4-May-24,Pakistan slams Indiaâ€™s cross-border assassination campaign,Dawn
4-May-24,"Mehmood Khan Achakzai serves legal notice on former minister, deputy commissioner",Dawn
5-May-24,Two arrested in Jaranwala for attack on polio team,Dawn
5-May-24,"PTI opposes change in judgesâ€™ tenure, calls it â€˜person-specificâ€™",Dawn
5-May-24,May 9 perpetrators now talking about talks with establishment: Defence Minister Asif,Dawn
5-May-24,PIA to start Haj flights from eight cities on May 9th,Dawn
5-May-24,"Gwadar to play key role in Pakistanâ€™s economic development, says maritime minister",Dawn
5-May-24,SC judge seeks early hearing of civiliansâ€™ military trial cases,Dawn
5-May-24,Four killed in Balochistan,Dawn
5-May-24,Balochistan transporters end strike after talks with CM Bugti,Dawn
5-May-24,Russia accuses Nato of preparing for conflict,Dawn
2-May-24,IHC reserves decision on Bushra Bibiâ€™s transfer to Adiala jail,Express Tribune
2-May-24,Police constable shot dead in Lahore,Express Tribune
2-May-24,US Democrats press Biden to prevent Israeli assault on Rafah,Express Tribune
2-May-24,"Colombia to break diplomatic relations with Israel, President Petro says",Express Tribune
2-May-24,"Police mass near UCLA pro-Palestinian protest camp, a day after violent clashes",Express Tribune
2-May-24,PTI AJK announces campaign for Imranâ€™s release,Express Tribune
2-May-24,"PPP, MQM-P bury the hatchet, join hands",Express Tribune
2-May-24,Bushra Bibi challenges NAB summons,Express Tribune
2-May-24,PIA sell-off fails to attract foreign investors,Express Tribune
2-May-24,Punjab judiciary seeks end to executive control,Express Tribune
3-May-24,To the moon: Pakistan's first orbiter lifts off,Express Tribune
3-May-24,Achakzai opposes permanent enmity in politics,Express Tribune
3-May-24,UK's Labour claim big early win over PM Sunak's Conservatives,Express Tribune
3-May-24,Show solidarity': Pro-Palestinian protesters camp across Australian universities,Express Tribune
3-May-24,Students erect pro-Palestinian encampments across major Canadian universities,Express Tribune
3-May-24,"Russian troops enter base housing US military in Niger, US official says",Express Tribune
3-May-24,Payment of â€˜illegalâ€™ allowances to university staff stopped,Express Tribune
3-May-24,Israeli private eye arrested in London over alleged hacking for US firm,Express Tribune
3-May-24,"Fresh chaos, arrests on US college campuses as police flatten camp at UCLA",Express Tribune
3-May-24,"Over 20 killed, 21 injured in Karakoram Highway bus crash",Express Tribune
4-May-24,"NATO drills show it is preparing for potential conflict with Russia, Moscow says",Express Tribune
4-May-24,"Hamas, CIA director to hold talks in Cairo on Gaza truce",Express Tribune
4-May-24,"Rains in southern Brazil kill at least 39, some 70 still missing",Express Tribune
4-May-24,"Fresh chaos, arrests on US college campuses as police flatten camp at UCLA",Express Tribune
4-May-24,"Canada police charge three with murder of Sikh leader Nijjar, probe India link",Express Tribune
4-May-24,31 officials implicated in aiding wheat smuggling,Express Tribune
4-May-24,President approves Justice Siddiquiâ€™s retirement,Express Tribune
4-May-24,PTI demands judicial inquiry on White Paper,Express Tribune
4-May-24,Pakistan demands unconditional Gaza ceasefire,Express Tribune
4-May-24,"Kakar, Abbasi â€˜spar over wheat scandalâ€™",Express Tribune
5-May-24,Is the US drifting to the wrong side of history?,Express Tribune
5-May-24,Karez to the rescue,Express Tribune
5-May-24,Pakistanâ€™s largest cable maker plans to launch one of countryâ€™s biggest share listings,Express Tribune
5-May-24,Afghan diplomat resigns amid allegations of gold smuggling,Express Tribune
5-May-24,New training centre in Islamabad to boost education and employment,Express Tribune
5-May-24,The Michelangelo of camel fur,Express Tribune
5-May-24,Balochistan through the lens,Express Tribune
5-May-24,Malalaâ€™s fall from grace,Express Tribune
5-May-24,The helpless help,Express Tribune
5-May-24,"One passport office each in Lahore, Karachi to offer 24-hour services",Express Tribune
5-May-24,Blame game: Ex-PM Kakar says wheat imported under SRO passed during PTI govt,The News
5-May-24,Karachi weather: Health experts advise caution as mercury likely to go up,The News
5-May-24,"Extension in CJPâ€™s term will be a disaster, PTIâ€™s Qaiser tells law minister Tarar",The News
5-May-24,"VIDEO: Irked by â€˜tortureâ€™, transgender mob storms Gujrat police station",The News
5-May-24,"Govt to launch free bus service for female students, teachers in Islamabad next month",The News
5-May-24,"Govt makes passport service available 24/7 in Karachi, Lahore",The News
5-May-24,CM Gandpur says oath-taking of 'illegal' Governor Kundi holds no importance,The News
5-May-24,ANP elects Aimal Wali Khan as president,The News
5-May-24,Punjab governorâ€™s swearing-in ceremony deferred till May 7,The News
5-May-24,Deputy PM Ishaq Dar holds key meetings on sidelines of OIC Summit,The News
5-May-24,Two 'terrorists' attacking CTD Rawalpindi killed by 'friendly fire',The News
4-May-24,PM's aide calls for fixing chief justice's tenure,The News
4-May-24,Security forces kill six terrorists in North Waziristan IBO,The News
4-May-24,Amir Khan becomes honorary captain of Pakistan Army,The News
4-May-24,PM Shehbaz confident of Pakistan outperforming India with hard work,The News
4-May-24,Faisal Karim Kundi sworn in as KP governor,The News
4-May-24,"Ex-PM Kakar, PML-N's Abbasi engage in verbal spat over wheat import scandal",The News
4-May-24,"President green-lights Punjab, KP and Balochistan governors' appointments",The News
4-May-24,CSS 2023 results announced,The News
4-May-24,Khawaja Saad Rafique likely to become PML-N secretary general,The News
4-May-24,High-level trade delegation from Saudi Arabia to reach Pakistan today,The News
4-May-24,A-level paper leak: Cambridge cautions people of fake social media posts,The News
4-May-24,"â€˜SpaceX rockets marvel of technology, manifestation of Elon Muskâ€™s visionary leadershipâ€™",The News
4-May-24,Someone who wants to leave country makes a deal: Imran Khan,The News
4-May-24,PML-N's Jaffar Khan Mandokhail nominated for Balochistan governor post,The News
3-May-24,"Sardar Saleem Haider, Faisal Karim Kundi picked for Punjab, KP governor's slots",The News
3-May-24,Govt announces schedule for Hajj 2024 flights,The News
3-May-24,"Police officer shot dead, two wounded over challan dispute in KPâ€™s Mansehra",The News
3-May-24,Supporting women agripreneurs: Changing lives and communities,The News
